KEY,ENGLISH,FRENCH,CHINESE,
addToLabels,Add ${variable} to labels,Ajouter ${variable} aux libellés,将 ${variable} 添加到标签,
addToValues,Add ${variable} to values,Ajouter ${variable} aux valeurs,将 ${variable} 添加到值,
andCondition,AND,ET,和,
applyFilter,Apply,Appliquer,申请,
area,Area,Zone,区域,
areaChart,Area,Zone,区域,
AreaColumnCombo,Area & Column,Zone et colonne,面积&列,
areaColumnComboTooltip,Area & Column,Zone et colonne,面积&列,
areaGroup,Area,Zone,区域,
ariaChecked,checked,vérifié,检查,
ariaColumn,Column,Colonne,柱子,
ariaColumnGroup,Column Group,Groupe de colonnes,列组,
ariaColumnList,Column List,Liste des colonnes,列列表,
ariaColumnSelectAll,Toggle Select All Columns,Toggle Sélectionner toutes les colonnes,Toggle 选择所有列,
ariaDateFilterInput,Date Filter Input,Filtre d'entrée de la date,日期过滤器输入,
ariaDefaultListName,List,Liste,列表,
ariaDropZoneColumnComponentAggFuncSeperator, of ,de,的,
ariaDropZoneColumnComponentDescription,Press DELETE to remove,Appuyez sur SUPPRIMER pour supprimer,按删除删除,
ariaDropZoneColumnComponentSortAscending,ascending,Ascendant,上升,
ariaDropZoneColumnComponentSortDescending,descending,descendant,下降,
ariaDropZoneColumnGroupItemDescription,Press ENTER to sort,Appuyez sur ENTER pour trier,按 ENTER 排序,
ariaDropZoneColumnValueItemDescription,Press ENTER to change the aggregation type,Appuyez sur ENTRÉE pour modifier le type d'agrégation,按 ENTER 更改聚合类型,
ariaFilterColumnsInput,Filter Columns Input,Filtrer l'entrée des colonnes,过滤列输入,
ariaFilterFromValue,Filter from value,Filtrer à partir de la valeur,从值过滤,
ariaFilteringOperator,Filtering Operator,Opérateur de filtrage,过滤运算符,
ariaFilterInput,Filter Input,Filtrer l'entrée,过滤输入,
ariaFilterList,Filter List,Filtrer la liste,过滤器列表,
ariaFilterToValue,Filter to value,Filtrer par valeur,筛选值,
ariaFilterValue,Filter Value,Valeur de filtre,过滤值,
ariaHidden,hidden,caché,隐,
ariaIndeterminate,indeterminate,indéterminé,不定,
ariaInputEditor,Input Editor,Éditeur d'entrée,输入编辑器,
ariaLabelAggregationFunction,Aggregation Function,Fonction d'agrégation,聚合函数,
ariaLabelCellEditor,Cell Editor,Éditeur de cellule,单元格编辑器,
ariaLabelColumnMenu,Column Menu,Menu Colonne,列菜单,
ariaLabelContextMenu,Context Menu,Menu contextuel,上下文菜单,
ariaLabelDialog,Dialog,Dialogue,对话,
ariaLabelSelectField,Select Field,Sélectionnez le champ,选择字段,
ariaLabelSubMenu,SubMenu,Sous-menu,子菜单,
ariaLabelTooltip,Tooltip,Info-bulle,工具提示,
ariaMenuColumn,Press CTRL ENTER to open column menu.,Appuyez sur CTRL ENTER pour ouvrir le menu des colonnes.,按 CTRL ENTER 打开列菜单。,
ariaPivotDropZonePanelLabel,Column Labels,Étiquettes de colonne,列标签,
ariaRowDeselect,Press SPACE to deselect this row,Appuyez sur ESPACE pour désélectionner cette ligne,按空格键取消选择该行,
ariaRowGroupDropZonePanelLabel,Row Groups,Groupes de lignes,行组,
ariaRowSelect,Press SPACE to select this row,Appuyez sur ESPACE pour sélectionner cette ligne,按空格键选择这一行,
ariaRowSelectAll,Press Space to toggle all rows selection,Appuyez sur Espace pour basculer la sélection de toutes les lignes,按空格键切换所有行选择,
ariaRowToggleSelection,Press Space to toggle row selection,Appuyez sur Espace pour basculer la sélection de ligne,按空格键切换行选择,
ariaSearch,Search,Recherche,搜索,
ariaSearchFilterValues,Search filter values,Filtre de recherche des valeurs,搜索过滤器值,
ariaSortableColumn,Press ENTER to sort,Appuyez sur ENTER pour trier,按 ENTER 排序,
ariaToggleVisibility,Press SPACE to toggle visibility,Appuyez sur ESPACE pour basculer la visibilité,按空格键切换可见性,
ariaUnchecked,unchecked,décochée,未经检查,
ariaValuesDropZonePanelLabel,Values,Valeurs,价值观,
ariaVisible,visible,visible,可见的,
automatic,Automatic,Automatique,自动的,
autoRotate,Auto Rotate,Rotation automatique,自动旋转,
autosizeAllColumns,Autosize All Columns,Dimensionner automatiquement toutes les colonnes,自动调整所有列,
autosizeThiscolumn,Autosize This Column,Dimensionner automatiquement cette colonne,自动调整此列,
avg,Average,Moyenne,平均的,
axis,Axis,Axe,轴,
background,Background,Arrière-plan,背景,
barChart,Bar,Bar,酒吧,
barGroup,Bar,Bar,酒吧,
blank,Blank,Blanc,空白的,
blanks,(Blanks),(Espaces vides),（空白）,
blur,Blur,Blur,模糊,
bold,Bold,Gras,大胆的,
boldItalic,Bold Italic,Gras italique,加粗斜体,
bottom,Bottom,Bas,底部,
bubble,Bubble,Bulle,气泡,
bubbleTooltip,Bubble,Bulle,气泡,
callout,Callout,Faire appel à,大喊,
cancelFilter,Cancel,Annuler,取消,
categories,Categories,Catégories,类别,
category,Category,Catégorie,类别,
chart,Chart,Graphique,图表,
chartDownloadToolbarTooltip,Download Chart,Télécharger le graphique,下载图表,
chartLinkToolbarTooltip,Linked to Grid,Lié à la grille,链接到网格,
chartRange,Chart Range,Plage du graphique,图表范围,
chartSettingsToolbarTooltip,Menu,Menu,菜单,
chartUnlinkToolbarTooltip,Unlinked from Grid,Dissocié de la grille,与网格断开链接,
clearFilter,Clear,Clair,清除,
collapseAll,Close All,Ferme tout,关闭所有,
color,Color,Couleur,颜色,
columnChart,Column,Colonne,柱子,
columnGroup,Column,Colonne,柱子,
columnLineCombo,Column & Line,Colonne et ligne,列&行,
columnLineComboTooltip,Column & Line,Colonne et ligne,列&行,
columns,Columns,Colonnes,列,
combinationChart,Combination,Combinaison,组合,
combinationGroup,Combination,Combinaison,组合,
contains,Contains,Contient,包含,
copy,Copy,Copie,复制,
copyWithGroupHeaders,Copy with Group Headers,Copier avec un d'en-têtes,复制组标题,
copyWithHeaders,Copy With Headers,Copier avec en-têtes,复制标题,
count,Count,Compter,数数,
csvExport,CSV Export,Exportation CSV,CSV 导出,
ctrlC,Ctrl+C,Ctrl+C,Ctrl+C,
ctrlV,Ctrl+V,Ctrl+V,Ctrl+V,
customComboTooltip,Custom Combination,Combinaison personnalisée,自定义组合,
data,Data,Données,数据,
dateFilter,Date Filter,Filtre de dates,日期过滤器,
dateFormatOoo,yyyy-mm-dd,aaaa-mm-jj,yyyy-mm-dd,
decimalSeparator,.,.,.,
defaultCategory,(None),(Aucun),（没有任何）,
doughnut,Doughnut,Doughnut,油炸圈饼,
doughnutTooltip,Doughnut,Doughnut,油炸圈饼,
empty,Choose One,Choisissez-en un,选一个,
enabled,Enabled,Activé,启用,
endsWith,Ends with,Se termine par,以。。结束,
equals,Equals,Équivaut à,等于,
excelExport,Excel Export,Exportation Excel,导出Excel,
expandAll,Expand All,Développer tout,展开全部,
export,Export,Exporter,出口,
fillOpacity,Fill Opacity,Opacité de remplissage,填充不透明度,
filteredRows,Filtered,Filtré,已过滤,
filterOoo,Filter...,Filtre...,筛选...,
filters,Filters,Filtres,过滤器,
first,First,En premier,第一的,
firstPage,First Page,Première page,第一页,
font,Font,Caractère,字体,
format,Format,Format,格式,
greaterThan,Greater than,Plus grand que,比...更棒,
greaterThanOrEqual,Greater than or equal,Meilleur que ou égal,大于或等于,
group,Group,Groupe,团体,
groupBy,Group by,Par groupe,通过...分组,
groupedAreaTooltip,Area,Zone,区域,
groupedBar,Grouped,Groupé,分组,
groupedBarTooltip,Grouped,Groupé,分组,
groupedColumn,Grouped,Groupé,分组,
groupedColumnTooltip,Grouped,Groupé,分组,
groups,Row Groups,Groupes de lignes,行组,
height,Height,Hauteur,高度,
histogramBinCount,Bin count,Nombre de bacs,箱数,
histogramChart,Histogram,Histogramme,直方图,
histogramFrequency,Frequency,Fréquence,频率,
histogramGroup,Histogram,Histogramme,直方图,
histogramTooltip,Histogram,Histogramme,直方图,
inRange,In range,Dans la gamme,在范围内,
inRangeEnd,to,pour,到,
inRangeStart,from,depuis,从,
italic,Italic,Italique,斜体,
itemPaddingX,Item Padding X,Rembourrage d'article X,项目填充 X,
itemPaddingY,Item Padding Y,Rembourrage d'article Y,项目填充 Y,
itemSpacing,Item Spacing,Espacement des éléments,项目间距,
labels,Labels,Étiquettes,标签,
last,Last,Dernier,最后的,
lastPage,Last Page,Dernière page,最后一页,
layoutHorizontalSpacing,Horizontal Spacing,Espacement horizontal,水平间距,
layoutVerticalSpacing,Vertical Spacing,Espacement vertical,垂直间距,
left,Left,Gauche,左边,
legend,Legend,Légende,传奇,
length,Length,Longueur,长度,
lessThan,Less than,Moins que,少于,
lessThanOrEqual,Less than or equal,Inférieur ou égal,小于或等于,
line,Line,Doubler,线,
lineDash,Line Dash,Tiret de ligne,划线,
lineGroup,Line,Doubler,线,
lineTooltip,Line,Doubler,线,
lineWidth,Line Width,Largeur de ligne,行宽,
loadingError,ERR,Erreur,呃,
loadingOoo,Loading...,Chargement...,加载中...,
markerPadding,Marker Padding,Rembourrage du marqueur,标记填充,
markers,Markers,Marqueurs,标记,
markerSize,Marker Size,Taille du marqueur,标记尺寸,
markerStroke,Marker Stroke,Trait de marqueur,标记行程,
max,Max,Max,最大限度,
maxSize,Maximum Size,Taille maximum,最大尺寸,
min,Min,Min,最小值,
minSize,Minimum Size,Taille minimale,最小尺寸,
more,More,Plus,更多的,
navigator,Navigator,Navigateur,航海家,
nextPage,Next Page,Page suivante,下一页,
noAggregation,None,Aucun,没有任何,
noDataToChart,No data available to be charted.,Aucune donnée disponible pour être cartographiée.,没有可用于绘制图表的数据。,
noMatches,No matches,Pas de correspondance,无匹配,
none,None,Aucun,没有任何,
noPin,No Pin,Pas d'épingle,没有别针,
normal,Normal,Normal,普通的,
normalizedArea,100% Stacked,100 % empilé,100% 堆叠,
normalizedAreaTooltip,100% Stacked,100 % empilé,100% 堆叠,
normalizedBar,100% Stacked,100 % empilé,100% 堆叠,
normalizedBarTooltip,100% Stacked,100 % empilé,100% 堆叠,
normalizedColumn,100% Stacked,100 % empilé,100% 堆叠,
normalizedColumnTooltip,100% Stacked,100 % empilé,100% 堆叠,
noRowsToShow,No Rows To Show,Aucune ligne à afficher,没有要显示的行,
notBlank,Not blank,Pas vide,不为空,
notContains,Not contains,Ne contient pas,不包含,
notEqual,Not equal,Pas égal,不等于,
number,Number,Nombre,数字,
numberFilter,Number Filter,Filtre numérique,数字过滤器,
of,of,de,的,
offset,Offset,Compenser,抵消,
offsets,Offsets,Décalages,偏移量,
orCondition,OR,OU,或者,
padding,Padding,Rembourrage,填充,
page,Page,Page,页,
paired,Paired Mode,Mode jumelé,配对模式,
paste,Paste,Coller,粘贴,
pie,Pie,Pie,馅饼,
pieChart,Pie,Pie,馅饼,
pieGroup,Pie,Pie,馅饼,
pieTooltip,Pie,Pie,馅饼,
pinColumn,Pin Column,Pin Colonne,针柱,
pinLeft,Pin Left,Pin gauche,向左固定,
pinRight,Pin Right,Pin droite,右脚,
pivotChart,Pivot Chart,Tableau croisé dynamique,数据透视图,
pivotChartAndPivotMode,Pivot Chart & Pivot Mode,Graphique croisé dynamique et mode pivot,数据透视图和数据透视模式,
pivotChartRequiresPivotMode,Pivot Chart requires Pivot Mode enabled.,Le graphique croisé dynamique nécessite l'activation du mode pivot.,数据透视图需要启用数据透视模式。,
pivotChartTitle,Pivot Chart,Tableau croisé dynamique,数据透视图,
pivotColumnGroupTotals,Total,Total,全部的,
pivotColumnsEmptyMessage,Drag here to set column labels,Faites glisser ici pour définir les étiquettes de colonne,拖到此处以设置列标签,
pivotMode,Pivot Mode,Mode pivot,枢轴模式,
pivots,Column Labels,Étiquettes de colonne,列标签,
position,Position,Position,位置,
predefined,Predefined,Prédéfini,预定义,
previousPage,Previous Page,Page précédente,上一页,
rangeChartTitle,Range Chart,Range Chart,范围图,
removeFromLabels,Remove ${variable} from labels,Supprimer ${variable} des libellés,从标签中删除 ${variable},
removeFromValues,Remove ${variable} from values,Supprimer ${variable} des valeurs,从值中删除 ${variable},
resetColumns,Reset Columns,Réinitialiser les colonnes,重置列,
resetFilter,Reset,Réinitialiser,重置,
right,Right,Droite,正确的,
rowDragRow,row,ligne,排,
rowDragRows,rows,Lignes,行,
rowGroupColumnsEmptyMessage,Drag here to set row groups,Faites glisser ici pour définir des groupes de lignes,拖到这里设置行组,
scatter,Scatter,Dispersion,分散,
scatterGroup,X Y (Scatter),X Y (dispersion),X Y（散点图）,
scatterTooltip,Scatter,Dispersion,分散,
searchOoo,Search...,Recherche...,搜索...,
secondaryAxis,Secondary Axis,Axe secondaire,次轴,
selectAll,(Select All),(Tout sélectionner),（全选）,
selectAllSearchResults,(Select All Search Results),(Sélectionner tous les résultats de la recherche),（选择所有搜索结果）,
selectedRows,Selected,Choisi,已选,
series,Series,Série,系列,
seriesChartType,Series Chart Type,Type de séries de graphique,系列图表类型,
seriesType,Series Type,Type de séries,系列类型,
setFilter,Set Filter,Définir le filtre,设置过滤器,
settings,Settings,Paramètres,设置,
shadow,Shadow,Shadow,阴影,
size,Size,Taille,尺寸,
spacing,Spacing,Espacement,间距,
stackedArea,Stacked,empilé,堆积,
stackedAreaTooltip,Stacked,empilé,堆积,
stackedBar,Stacked,empilé,堆积,
stackedBarTooltip,Stacked,empilé,堆积,
stackedColumn,Stacked,empilé,堆积,
stackedColumnTooltip,Stacked,empilé,堆积,
startsWith,Starts with,Commence avec,以。。开始,
strokeOpacity,Line Opacity,Opacité de la ligne,线条不透明度,
strokeWidth,Stroke Width,Largeur du trait,笔划宽度,
sum,Sum,Somme,和,
textFilter,Text Filter,Filtre de texte,文本过滤器,
thickness,Thickness,Épaisseur,厚度,
thousandSeparator,",",",",",",
ticks,Ticks,Tiques,蜱虫,
time,Time,Temp,时间,
title,Title,Titre,标题,
titlePlaceholder,Chart title - double click to edit,Titre du graphique - double-cliquez pour modifier,图表标题 - 双击编辑,
to,to,pour,到,
tooltips,Tooltips,Info-bulles,工具提示,
top,Top,Haut,顶部,
totalAndFilteredRows,Rows,Lignes,行数,
totalRows,Total Rows,Nombre total de lignes,总行数,
ungroupBy,Un-Group by,Dégrouper par,取消分组依据,
valueAggregation,Value Aggregation,Agrégation de valeur,价值聚合,
valueColumnsEmptyMessage,Drag here to aggregate,Faites glisser ici pour agréger,拖到这里聚合,
values,Values,Valeurs,价值观,
width,Width,Largeur,宽度,
xOffset,X Offset,Décalage X,X 偏移,
xRotation,X Rotation,Rotation X,X 旋转,
xType,X Type,Type X,X型,
xyChart,X Y (Scatter),X Y (dispersion),X Y（散点图）,
xyValues,X Y Values,Valeurs X Y,X Y 值,
yOffset,Y Offset,Décalage Y,Y 偏移量,
yRotation,Y Rotation,Rotation Y,Y 旋转,